date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:44:35	15579/15579	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/05kotlin/01progestructurada/40.-variables-_-literales-_y_-sentencia_-de_-asignaci%c3%b3n/index.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/05kotlin/01progestructurada/40.-variables-_-literales-_y_-sentencia_-de_-asignaci%c3%b3n/index.html	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:35	84663/84663	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/05kotlin/01progestructurada/50.-palabras_reservadas/index.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/05kotlin/01progestructurada/50.-palabras_reservadas/index.html	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:35	80713/80713	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2008:52:59%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/05kotlin/01progestructurada/tipos_de_datos_y_operadores_basicos/index.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/05kotlin/01progestructurada/tipos_de_datos_y_operadores_basicos/index.html	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:36	86440/86440	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2008:52:59%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/05kotlin/01progestructurada/tipos_de_datos_y_operadores_basicos/60.tipos_de_datos_basicos/index.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/05kotlin/01progestructurada/tipos_de_datos_y_operadores_basicos/60.tipos_de_datos_basicos/index.html	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:36	87619/87619	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2008:52:59%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/05kotlin/01progestructurada/tipos_de_datos_y_operadores_basicos/70.tipos_numericos/index.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/05kotlin/01progestructurada/tipos_de_datos_y_operadores_basicos/70.tipos_numericos/index.html	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:36	85880/85880	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2008:52:59%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/05kotlin/01progestructurada/tipos_de_datos_y_operadores_basicos/80.tipos_no_-numericos/index.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/05kotlin/01progestructurada/tipos_de_datos_y_operadores_basicos/80.tipos_no_-numericos/index.html	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:36	86095/86095	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2008:52:59%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/05kotlin/01progestructurada/tipos_de_datos_y_operadores_basicos/90.conversion_de_tipos/index.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/05kotlin/01progestructurada/tipos_de_datos_y_operadores_basicos/90.conversion_de_tipos/index.html	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:36	97103/97103	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2008:52:59%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/05kotlin/01progestructurada/tipos_de_datos_y_operadores_basicos/100.-operadores/index.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/05kotlin/01progestructurada/tipos_de_datos_y_operadores_basicos/100.-operadores/index.html	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:37	86336/86336	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2008:52:59%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/05kotlin/01progestructurada/tipos_de_datos_y_operadores_basicos/110.-expresiones_booleanas/index.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/05kotlin/01progestructurada/tipos_de_datos_y_operadores_basicos/110.-expresiones_booleanas/index.html	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:37	84313/84313	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/05kotlin/01progestructurada/coleccionesbasicas/index.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/05kotlin/01progestructurada/coleccionesbasicas/index.html	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
